instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
281854981,1100996,BANKEX25JUNFUT,"BANKEX",0,2025-06-24,0,0.05,30,FUT,BFO-FUT,BFO
292126213,1141118,BANKEX25JULFUT,"BANKEX",0,2025-07-29,0,0.05,30,FUT,BFO-FUT,BFO
211672581,826846,BANKEX25AUGFUT,"BANKEX",0,2025-08-26,0,0.05,30,FUT,BFO-FUT,BFO
281836549,1100924,SENSEX25JUNFUT,"SENSEX",0,2025-06-24,0,0.05,20,FUT,BFO-FUT,BFO
210402821,821886,SENSEX25701FUT,"SENSEX",0,2025-07-01,0,0.05,20,FUT,BFO-FUT,BFO
211177989,824914,SENSEX25708FUT,"SENSEX",0,2025-07-08,0,0.05,20,FUT,BFO-FUT,BFO
211665413,826818,SENSEX25715FUT,"SENSEX",0,2025-07-15,0,0.05,20,FUT,BFO-FUT,BFO
212203525,828920,SENSEX25722FUT,"SENSEX",0,2025-07-22,0,0.05,20,FUT,BFO-FUT,BFO
292078597,1140932,SENSEX25JULFUT,"SENSEX",0,2025-07-29,0,0.05,20,FUT,BFO-FUT,BFO
215067397,840107,SENSEX25805FUT,"SENSEX",0,2025-08-05,0,0.05,20,FUT,BFO-FUT,BFO
211640069,826719,SENSEX25AUGFUT,"SENSEX",0,2025-08-26,0,0.05,20,FUT,BFO-FUT,BFO
281925381,1101271,SENSEX5025JUNFUT,"SENSEX50",0,2025-06-24,0,0.05,60,FUT,BFO-FUT,BFO
291911685,1140280,SENSEX5025JULFUT,"SENSEX50",0,2025-07-29,0,0.05,75,FUT,BFO-FUT,BFO
211797509,827334,SENSEX5025AUGFUT,"SENSEX50",0,2025-08-26,0,0.05,75,FUT,BFO-FUT,BFO
281806597,1100807,BANKEX25JUN62900PE,"BANKEX",0,2025-06-24,62900,0.05,30,PE,BFO-OPT,BFO
281859845,1101015,BANKEX25JUN62900CE,"BANKEX",0,2025-06-24,62900,0.05,30,CE,BFO-OPT,BFO
281812485,1100830,BANKEX25JUN62800CE,"BANKEX",0,2025-06-24,62800,0.05,30,CE,BFO-OPT,BFO
281845765,1100960,BANKEX25JUN62800PE,"BANKEX",0,2025-06-24,62800,0.05,30,PE,BFO-OPT,BFO
281795589,1100764,BANKEX25JUN63000CE,"BANKEX",0,2025-06-24,63000,0.05,30,CE,BFO-OPT,BFO
281896965,1101160,BANKEX25JUN63000PE,"BANKEX",0,2025-06-24,63000,0.05,30,PE,BFO-OPT,BFO
281849605,1100975,BANKEX25JUN62700CE,"BANKEX",0,2025-06-24,62700,0.05,30,CE,BFO-OPT,BFO
281882629,1101104,BANKEX25JUN62700PE,"BANKEX",0,2025-06-24,62700,0.05,30,PE,BFO-OPT,BFO
281791493,1100748,BANKEX25JUN63100PE,"BANKEX",0,2025-06-24,63100,0.05,30,PE,BFO-OPT,BFO
